2019-05-31 09:21:56.305 [restartedMain] INFO  com.CNFloWopen.niugou.NiugouApplication - Starting NiugouApplication on BloAway6 with PID 4440 (/Users/argeszy/warehouse/pos/niugou/target/classes started by argeszy in /Users/argeszy/warehouse/pos/niugou)
2019-05-31 09:21:56.308 [restartedMain] INFO  com.CNFloWopen.niugou.NiugouApplication - No active profile set, falling back to default profiles: default
2019-05-31 09:21:59.411 [restartedMain] INFO  com.CNFloWopen.niugou.NiugouApplication - Started NiugouApplication in 3.48 seconds (JVM running for 4.835)
2019-05-31 09:48:49.678 [restartedMain] INFO  com.CNFloWopen.niugou.NiugouApplication - Starting NiugouApplication on BloAway6 with PID 4464 (/Users/argeszy/warehouse/pos/niugou/target/classes started by argeszy in /Users/argeszy/warehouse/pos/niugou)
2019-05-31 09:48:49.679 [restartedMain] INFO  com.CNFloWopen.niugou.NiugouApplication - No active profile set, falling back to default profiles: default
2019-05-31 09:48:52.566 [restartedMain] INFO  com.CNFloWopen.niugou.NiugouApplication - Started NiugouApplication in 3.134 seconds (JVM running for 4.54)
2019-05-31 09:49:36.382 [restartedMain] INFO  com.CNFloWopen.niugou.NiugouApplication - Starting NiugouApplication on BloAway6 with PID 4471 (/Users/argeszy/warehouse/pos/niugou/target/classes started by argeszy in /Users/argeszy/warehouse/pos/niugou)
2019-05-31 09:49:36.383 [restartedMain] INFO  com.CNFloWopen.niugou.NiugouApplication - No active profile set, falling back to default profiles: default
2019-05-31 09:49:39.845 [restartedMain] INFO  com.CNFloWopen.niugou.NiugouApplication - Started NiugouApplication in 3.714 seconds (JVM running for 4.524)
2019-05-31 11:30:45.312 [restartedMain] INFO  com.CNFloWopen.niugou.NiugouApplication - Starting NiugouApplication on BloAway6.local with PID 4550 (/Users/argeszy/warehouse/pos/niugou/target/classes started by argeszy in /Users/argeszy/warehouse/pos/niugou)
2019-05-31 11:30:45.313 [restartedMain] INFO  com.CNFloWopen.niugou.NiugouApplication - No active profile set, falling back to default profiles: default
2019-05-31 11:30:47.753 [restartedMain] INFO  com.CNFloWopen.niugou.NiugouApplication - Started NiugouApplication in 2.613 seconds (JVM running for 3.144)
